id,Event,EventId,StartTime,TimeZone,EventStatus,OrganizationId,OrganizationName,Venue,VenueId,Location_City,Location_State,Location_Country,TriCode,FightId,FightOrder,FightStatus,CardSegment,CardSegmentStartTime,CardSegmentBroadcaster,FighterId,MMAId,Corner,FirstName,LastName,Nickname,DOB,Age,Stance,Weight_lbs,Height_in,Reach_in,UFC_Profile,FighterWeightClass,Record_Wins,Record_Losses,Record_Draws,Record_NoContests,Born_City,Born_State,Born_Country,FightingOutOf_City,FightingOutOf_State,FightingOutOf_Country,ImageURL,Rank,odds,Streak
257,UFC Fight Night: Hill vs. Rountree Jr.,1258,2025-06-21T16:00Z,GMT+04:00,Upcoming,1,Ultimate Fighting Championship,Baku Crystal Hall,343,Baku,,Azerbaijan,AZE,12047,1,Upcoming,Main,2025-06-21T19:00Z,ABC,3349,153994,Red,Jamahal,Hill,Sweet Dreams,5/19/91,34,Southpaw,205,76,79,http://www.ufc.com/athlete/Jamahal-Hill,Light Heavyweight,12,3,0,1,Chicago,Illinois,USA,Grand Rapids,Michigan,USA,https://ufc.com/images/2025-06/HILL_JAMAHAL_06-21.png,4,130,-2
258,UFC Fight Night: Hill vs. Rountree Jr.,1258,2025-06-21T16:00Z,GMT+04:00,Upcoming,1,Ultimate Fighting Championship,Baku Crystal Hall,343,Baku,,Azerbaijan,AZE,12047,1,Upcoming,Main,2025-06-21T19:00Z,ABC,2790,139187,Blue,Khalil,Rountree Jr.,,2/26/90,35,Southpaw,205,73,76.5,http://www.ufc.com/athlete/Khalil-Rountree-Jr.,Light Heavyweight,14,6,0,1,Los Angeles,California,USA,Las Vegas,Nevada,USA,https://ufc.com/images/2025-06/ROUNTREE_KHALIL_06-21.png,7,-155,-1
259,UFC Fight Night: Hill vs. Rountree Jr.,1258,2025-06-21T16:00Z,GMT+04:00,Upcoming,1,Ultimate Fighting Championship,Baku Crystal Hall,343,Baku,,Azerbaijan,AZE,12100,2,Upcoming,Main,2025-06-21T19:00Z,ABC,3078,160093,Red,Rafael,Fiziev,Ataman,3/5/93,32,Switch,155,68,71.5,http://www.ufc.com/athlete/Rafael-Fiziev,Lightweight,12,4,0,0,Korday,,Kazakstan,,Phuket,Thailand,https://ufc.com/images/2025-06/FIZIEV_RAFAEL_06-21.png,11,120,-3
260,UFC Fight Night: Hill vs. Rountree Jr.,1258,2025-06-21T16:00Z,GMT+04:00,Upcoming,1,Ultimate Fighting Championship,Baku Crystal Hall,343,Baku,,Azerbaijan,AZE,12100,2,Upcoming,Main,2025-06-21T19:00Z,ABC,3595,146354,Blue,Ignacio,Bahamondes,La Jaula,8/27/97,27,Orthodox,155,75,75.5,http://www.ufc.com/athlete/Ignacio-Bahamondes,Lightweight,17,5,0,0,Santiago,,Chile,Santiago,,Chile,https://ufc.com/images/2025-06/BAHAMONDES_IGNACIO_06-21.png,,-140,3
261,UFC Fight Night: Hill vs. Rountree Jr.,1258,2025-06-21T16:00Z,GMT+04:00,Upcoming,1,Ultimate Fighting Championship,Baku Crystal Hall,343,Baku,,Azerbaijan,AZE,12053,3,Upcoming,Main,2025-06-21T19:00Z,ABC,2764,134326,Red,Curtis,Blaydes,Razor,2/18/91,34,Orthodox,265,76,80,http://www.ufc.com/athlete/Curtis-Blaydes,Heavyweight,18,5,0,1,Chicago,Illinois,USA,Chicago,Illinois,USA,https://ufc.com/images/2025-06/BLAYDES_CURTIS_06-21.png,5,-265,-1
262,UFC Fight Night: Hill vs. Rountree Jr.,1258,2025-06-21T16:00Z,GMT+04:00,Upcoming,1,Ultimate Fighting Championship,Baku Crystal Hall,343,Baku,,Azerbaijan,AZE,12053,3,Upcoming,Main,2025-06-21T19:00Z,ABC,3667,165716,Blue,Rizvan,Kuniev,,3/10/92,33,Orthodox,240,76,76,http://www.ufc.com/athlete/Rizvan-Kuniev,Heavyweight,12,2,1,1,Makhachkala,Dagestan,Russia,Makhachkala,Dagestan,Russia,https://ufc.com/images/2025-06/KUNIEV_RIZVAN_06-21.png,,215,19
263,UFC Fight Night: Hill vs. Rountree Jr.,1258,2025-06-21T16:00Z,GMT+04:00,Upcoming,1,Ultimate Fighting Championship,Baku Crystal Hall,343,Baku,,Azerbaijan,AZE,12169,4,Upcoming,Main,2025-06-21T19:00Z,ABC,4404,169915,Red,Tofiq,Musayev,,12/15/89,35,Orthodox,155,69,69,http://www.ufc.com/athlete/Tofiq-Musayev,Lightweight,22,5,0,0,Baku,,Azerbaijan,Baku,,Azerbaijan,https://ufc.com/images/2025-06/MUSAYEV_TOFIQ_06-21.png,,135,2
264,UFC Fight Night: Hill vs. Rountree Jr.,1258,2025-06-21T16:00Z,GMT+04:00,Upcoming,1,Ultimate Fighting Championship,Baku Crystal Hall,343,Baku,,Azerbaijan,AZE,12169,4,Upcoming,Main,2025-06-21T19:00Z,ABC,4159,168,Blue,Myktybek,Orolbai,,2/10/98,27,Orthodox,155,70,74,http://www.ufc.com/athlete/Myktybek-Orolbai,Lightweight,13,2,1,0,Osh,Osh,Kyrgyzstan,Osh,Osh,Kyrgyzstan,https://ufc.com/images/2025-06/OROLBAI_MYKTYBEK_06-21.png,,-160,-1
265,UFC Fight Night: Hill vs. Rountree Jr.,1258,2025-06-21T16:00Z,GMT+04:00,Upcoming,1,Ultimate Fighting Championship,Baku Crystal Hall,343,Baku,,Azerbaijan,AZE,12096,5,Upcoming,Main,2025-06-21T19:00Z,ABC,3859,149205,Red,Nazim,Sadykhov,Black Wolf,5/16/94,31,Southpaw,155,70,69,http://www.ufc.com/athlete/Nazim-Sadykhov,Lightweight,10,1,1,0,Moscow,Moscow,Russia,Baku,,Azerbaijan,https://ufc.com/images/2025-06/SADYKHOV_NAZIM_06-21.png,,-395,10
266,UFC Fight Night: Hill vs. Rountree Jr.,1258,2025-06-21T16:00Z,GMT+04:00,Upcoming,1,Ultimate Fighting Championship,Baku Crystal Hall,343,Baku,,Azerbaijan,AZE,12096,5,Upcoming,Main,2025-06-21T19:00Z,ABC,3614,142471,Blue,Nikolas,Motta,Iron,2/8/93,32,Orthodox,155,69,70.5,http://www.ufc.com/athlete/Nikolas-Motta,Lightweight,15,5,0,1,Governador Valadares,Minas Gerais,Brazil,,Phuket,Thailand,https://ufc.com/images/2025-06/MOTTA_NIKOLAS_06-21.png,,310,2
