id,Event,EventId,StartTime,TimeZone,EventStatus,OrganizationId,OrganizationName,Venue,VenueId,Location_City,Location_State,Location_Country,TriCode,FightId,FightOrder,FightStatus,CardSegment,CardSegmentStartTime,CardSegmentBroadcaster,FighterId,MMAId,Corner,FirstName,LastName,Nickname,DOB,Age,Stance,Weight_lbs,Height_in,Reach_in,UFC_Profile,FighterWeightClass,Record_Wins,Record_Losses,Record_Draws,Record_NoContests,Born_City,Born_State,Born_Country,FightingOutOf_City,FightingOutOf_State,FightingOutOf_Country,ImageURL,Rank,odds,Streak
281,UFC 317: Topuria vs. Oliveira,1262,2025-06-28T23:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,T-Mobile Arena,268,Las Vegas,Nevada,USA,USA,12120,1,Upcoming,Main,2025-06-29T02:00Z,PPV,3605,163860,Red,Ilia,Topuria,El Matador,1/21/97,28,Orthodox,155,67,69,http://www.ufc.com/athlete/Ilia-Topuria,Lightweight,16,0,0,0,Halle Westfalen,North Rhine-Westphalia,Germany,Alicante,Comunidad Valenciana,Spain,https://ufc.com/images/2025-06/TOPURIA_ILIA_06-28.png,,-440,16
282,UFC 317: Topuria vs. Oliveira,1262,2025-06-28T23:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,T-Mobile Arena,268,Las Vegas,Nevada,USA,USA,12120,1,Upcoming,Main,2025-06-29T02:00Z,PPV,1531,106574,Blue,Charles,Oliveira,Do Bronxs,10/17/89,35,Orthodox,155,70,74,http://www.ufc.com/athlete/Charles-Oliveira,Lightweight,35,10,0,1,Sao Paulo,Sao Paulo,Brazil,Sao Paulo,Sao Paulo,Brazil,https://ufc.com/images/2025-06/OLIVEIRA_CHARLES_06-28.png,2,340,1
283,UFC 317: Topuria vs. Oliveira,1262,2025-06-28T23:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,T-Mobile Arena,268,Las Vegas,Nevada,USA,USA,12121,2,Upcoming,Main,2025-06-29T02:00Z,PPV,2858,149191,Red,Alexandre,Pantoja,The Cannibal,4/16/90,35,Orthodox,125,65,67.5,http://www.ufc.com/athlete/Alexandre-Pantoja,Flyweight,29,5,0,0,Rio de Janeiro,Rio de Janeiro,Brazil,Arraial Do Cabo,Rio de Janeiro,Brazil,https://ufc.com/images/2025-06/PANTOJA_ALEXANDRE_BELT_06-28.png,0,-238,7
284,UFC 317: Topuria vs. Oliveira,1262,2025-06-28T23:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,T-Mobile Arena,268,Las Vegas,Nevada,USA,USA,12121,2,Upcoming,Main,2025-06-29T02:00Z,PPV,3197,149196,Blue,Kai,Kara-France,Don't Blink,3/26/93,32,Orthodox,125,64,69,http://www.ufc.com/athlete/Kai-Kara-France,Flyweight,25,11,0,1,Auckland,,New Zealand,Auckland,,New Zealand,https://ufc.com/images/2025-06/KARA-FRANCE_KAI_06-28.png,4,195,1
285,UFC 317: Topuria vs. Oliveira,1262,2025-06-28T23:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,T-Mobile Arena,268,Las Vegas,Nevada,USA,USA,12182,3,Upcoming,Main,2025-06-29T02:00Z,PPV,3459,124986,Red,Brandon,Royval,Raw Dawg,8/16/92,32,Southpaw,125,69,68,http://www.ufc.com/athlete/Brandon-Royval,Flyweight,17,7,0,0,Denver,Colorado,USA,Denver,Colorado,USA,https://ufc.com/images/2025-06/ROYVAL_BRANDON_06-28.png,1,-102,2
286,UFC 317: Topuria vs. Oliveira,1262,2025-06-28T23:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,T-Mobile Arena,268,Las Vegas,Nevada,USA,USA,12182,3,Upcoming,Main,2025-06-29T02:00Z,PPV,3989,163,Blue,Joshua,Van,The Fearless,10/10/01,23,Orthodox,125,65,65,http://www.ufc.com/athlete/Joshua-Van,Flyweight,14,2,0,0,Hakha,Chin,Myanmar,Houston,Texas,USA,https://ufc.com/images/2025-06/VAN_JOSHUA_06-28.png,12,-118,4
287,UFC 317: Topuria vs. Oliveira,1262,2025-06-28T23:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,T-Mobile Arena,268,Las Vegas,Nevada,USA,USA,12122,4,Upcoming,Main,2025-06-29T02:00Z,PPV,2168,132943,Red,Beneil,Dariush,,5/6/89,36,Southpaw,155,70,72,http://www.ufc.com/athlete/Beneil-Dariush,Lightweight,22,6,1,0,Goetapeh,,Iran,Yorba Linda,California,USA,https://ufc.com/images/2025-06/DARIUSH_BENEIL_06-28.png,9,-105,-2
288,UFC 317: Topuria vs. Oliveira,1262,2025-06-28T23:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,T-Mobile Arena,268,Las Vegas,Nevada,USA,USA,12122,4,Upcoming,Main,2025-06-29T02:00Z,PPV,2375,141938,Blue,Renato,Moicano,,5/21/89,36,Orthodox,155,71,72,http://www.ufc.com/athlete/Renato-Moicano,Lightweight,20,6,1,0,Brasilia,Distrito Federal,Brazil,Brasilia,Distrito Federal,Brazil,https://ufc.com/images/2025-06/MOICANO_RENATO_06-28.png,11,-115,-1
289,UFC 317: Topuria vs. Oliveira,1262,2025-06-28T23:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,T-Mobile Arena,268,Las Vegas,Nevada,USA,USA,12196,5,Upcoming,Main,2025-06-29T02:00Z,PPV,4023,161,Red,Payton,Talbott,,9/9/98,26,Switch,135,70,70.5,http://www.ufc.com/athlete/Payton-Talbott,Bantamweight,9,1,0,0,Las Vegas,Nevada,USA,Reno,Nevada,USA,https://ufc.com/images/2025-06/TALBOTT_PAYTON_06-28.png,,150,-1
290,UFC 317: Topuria vs. Oliveira,1262,2025-06-28T23:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,T-Mobile Arena,268,Las Vegas,Nevada,USA,USA,12196,5,Upcoming,Main,2025-06-29T02:00Z,PPV,4241,180,Blue,Felipe,Lima,Jungle Boy,5/7/98,27,Orthodox,135,66,68,http://www.ufc.com/athlete/Felipe-Lima,Bantamweight,14,1,0,0,Coari,Amazonas,Brazil,Coari,Amazonas,Brazil,https://ufc.com/images/2025-06/LIMA_FELIPE_06-28.png,,-180,14
