id,Event,EventId,StartTime,TimeZone,EventStatus,OrganizationId,OrganizationName,Venue,VenueId,Location_City,Location_State,Location_Country,TriCode,FightId,FightOrder,FightStatus,CardSegment,CardSegmentStartTime,CardSegmentBroadcaster,FighterId,MMAId,Corner,FirstName,LastName,Nickname,DOB,Age,Stance,Weight_lbs,Height_in,Reach_in,UFC_Profile,FighterWeightClass,Record_Wins,Record_Losses,Record_Draws,Record_NoContests,Born_City,Born_State,Born_Country,FightingOutOf_City,FightingOutOf_State,FightingOutOf_Country,ImageURL,Rank,odds,Streak,style
893,UFC Fight Night: Strickland vs. Hernandez,1297,2026-02-21T22:00Z,GMT-06:00,Upcoming,1,Ultimate Fighting Championship,Toyota Center,185,Houston,Texas,USA,USA,12541,1,Upcoming,Main,2026-02-22T01:00Z,Paramount+,2204,126465,Red,Sean,Strickland,,2/27/91,34,Orthodox,185,73,76,http://www.ufc.com/athlete/Sean-Strickland,Middleweight,29,7,0,0,Anaheim,California,USA,Corona,California,USA,https://ufc.com/images/2026-02/STRICKLAND_SEAN_02-21.png,3,210,-1,Boxer
894,UFC Fight Night: Strickland vs. Hernandez,1297,2026-02-21T22:00Z,GMT-06:00,Upcoming,1,Ultimate Fighting Championship,Toyota Center,185,Houston,Texas,USA,USA,12541,1,Upcoming,Main,2026-02-22T01:00Z,Paramount+,3091,139460,Blue,Anthony,Hernandez,Fluffy,10/18/93,32,Orthodox,185,72,75,http://www.ufc.com/athlete/Anthony-Hernandez,Middleweight,15,2,0,1,Woodland,California,USA,Dunnigan,California,USA,https://ufc.com/images/2026-02/HERNANDEZ_ANTHONY_02-21.png,4,-250,8,BJJ
895,UFC Fight Night: Strickland vs. Hernandez,1297,2026-02-21T22:00Z,GMT-06:00,Upcoming,1,Ultimate Fighting Championship,Toyota Center,185,Houston,Texas,USA,USA,12654,2,Upcoming,Main,2026-02-22T01:00Z,Paramount+,2963,120311,Red,Geoff,Neal,Handz of Steel,8/28/90,35,Southpaw,170,71,75,http://www.ufc.com/athlete/Geoff-Neal,Welterweight,16,7,0,0,Austin,Texas,USA,Dallas,Texas,USA,https://ufc.com/images/2026-02/NEAL_GEOFF_02-21.png,12,-200,-1,Striker
896,UFC Fight Night: Strickland vs. Hernandez,1297,2026-02-21T22:00Z,GMT-06:00,Upcoming,1,Ultimate Fighting Championship,Toyota Center,185,Houston,Texas,USA,USA,12654,2,Upcoming,Main,2026-02-22T01:00Z,Paramount+,3486,163671,Blue,Uros,Medic,The Doctor,4/25/93,32,Southpaw,170,73,71,http://www.ufc.com/athlete/Uros-Medic,Welterweight,12,3,0,0,Novi Sad,,Serbia,Novi Sad,,Serbia,https://ufc.com/images/2026-02/MEDIC_UROS_02-21.png,,170,2,Kickboxer
897,UFC Fight Night: Strickland vs. Hernandez,1297,2026-02-21T22:00Z,GMT-06:00,Upcoming,1,Ultimate Fighting Championship,Toyota Center,185,Houston,Texas,USA,USA,12593,3,Upcoming,Main,2026-02-22T01:00Z,Paramount+,2941,142394,Red,Dan,Ige,100K,8/6/91,34,Orthodox,145,67,71,http://www.ufc.com/athlete/Dan-Ige,Featherweight,19,10,0,0,San Clemente,California,USA,Haleiwa,Hawaii,USA,https://ufc.com/images/2025-07/IGE_DAN_07-19.png,14,195,-1,Wrestler
898,UFC Fight Night: Strickland vs. Hernandez,1297,2026-02-21T22:00Z,GMT-06:00,Upcoming,1,Ultimate Fighting Championship,Toyota Center,185,Houston,Texas,USA,USA,12593,3,Upcoming,Main,2026-02-22T01:00Z,Paramount+,3966,169117,Blue,Melquizael,Costa,The Dalmatian,9/14/96,29,Southpaw,145,70,71,http://www.ufc.com/athlete/Melquizael-Costa,Featherweight,25,7,0,0,Porto de Moz,Para,Brazil,Bauru,Sao Paulo,Brazil,https://ufc.com/images/2026-02/COSTA_MELQUIZAEL_02-21.png,,-230,5,Jiu-Jitsu
899,UFC Fight Night: Strickland vs. Hernandez,1297,2026-02-21T22:00Z,GMT-06:00,Upcoming,1,Ultimate Fighting Championship,Toyota Center,185,Houston,Texas,USA,USA,12592,4,Upcoming,Main,2026-02-22T01:00Z,Paramount+,3285,160315,Red,Serghei,Spivac,Polar Bear,1/24/95,31,Orthodox,260,75,78,http://www.ufc.com/athlete/Serghei-Spivac,Heavyweight,17,6,0,0,Chisinau,,Moldova,Chisinau,,Moldova,https://ufc.com/images/2026-02/SPIVAC_SERGHEI_02-21.png,7,100,-2,Sambo
900,UFC Fight Night: Strickland vs. Hernandez,1297,2026-02-21T22:00Z,GMT-06:00,Upcoming,1,Ultimate Fighting Championship,Toyota Center,185,Houston,Texas,USA,USA,12592,4,Upcoming,Main,2026-02-22T01:00Z,Paramount+,3602,160668,Blue,Ante,Delija,Walking Trouble,8/7/90,35,Orthodox,239,75,78,http://www.ufc.com/athlete/Ante-Delija,Heavyweight,26,7,0,0,Dubrovnik,,Croatia,Dubrovnik,,Croatia,https://ufc.com/images/2026-02/DELIJA_ANTE_02-21.png,9,-120,-1,MMA
901,UFC Fight Night: Strickland vs. Hernandez,1297,2026-02-21T22:00Z,GMT-06:00,Upcoming,1,Ultimate Fighting Championship,Toyota Center,185,Houston,Texas,USA,USA,12658,5,Upcoming,Main,2026-02-22T01:00Z,Paramount+,4294,166416,Red,Jacobe,Smith,Cobe,1/17/96,30,Southpaw,170,70,72,http://www.ufc.com/athlete/Jacobe-Smith,Welterweight,11,0,0,0,Muskogee,Oklahoma,USA,Dallas,Texas,USA,https://ufc.com/images/2026-02/SMITH_JACOBE_02-21.png,,-340,11,Wrestler
902,UFC Fight Night: Strickland vs. Hernandez,1297,2026-02-21T22:00Z,GMT-06:00,Upcoming,1,Ultimate Fighting Championship,Toyota Center,185,Houston,Texas,USA,USA,12658,5,Upcoming,Main,2026-02-22T01:00Z,Paramount+,4111,158226,Blue,Josiah,Harrell,The Muscle Hamster,11/13/98,27,Southpaw,170,67,68,http://www.ufc.com/athlete/Josiah-Harrell,Welterweight,11,0,0,0,Columbus,Ohio,USA,Columbus,Ohio,USA,https://ufc.com/images/2026-02/HARRELL_JOSIAH_02-21.png,,280,17,Wrestler
903,UFC Fight Night: Strickland vs. Hernandez,1297,2026-02-21T22:00Z,GMT-06:00,Upcoming,1,Ultimate Fighting Championship,Toyota Center,185,Houston,Texas,USA,USA,12594,6,Upcoming,Main,2026-02-22T01:00Z,Paramount+,4012,128091,Red,Zach,Reese,Savage,3/24/94,31,Switch,185,76,77,http://www.ufc.com/athlete/Zachary-Reese,Middleweight,10,2,0,1,Houston,Texas,USA,Shiner,Texas,USA,https://ufc.com/images/2026-02/REESE_ZACH_02-21.png,,150,2,Wrestler
