id,Event,EventId,StartTime,TimeZone,EventStatus,OrganizationId,OrganizationName,Venue,VenueId,Location_City,Location_State,Location_Country,TriCode,FightId,FightOrder,FightStatus,CardSegment,CardSegmentStartTime,CardSegmentBroadcaster,FighterId,MMAId,Corner,FirstName,LastName,Nickname,DOB,Age,Stance,Weight_lbs,Height_in,Reach_in,UFC_Profile,FighterWeightClass,Record_Wins,Record_Losses,Record_Draws,Record_NoContests,Born_City,Born_State,Born_Country,FightingOutOf_City,FightingOutOf_State,FightingOutOf_Country,ImageURL,Rank,odds,Streak,style
947,UFC 326: Holloway vs. Oliveira 2,1296,2026-03-07T22:30Z,GMT-08:00,Upcoming,1,Ultimate Fighting Championship,T-Mobile Arena,268,Las Vegas,Nevada,USA,USA,12540,1,Upcoming,Main,2026-03-08T02:00Z,Paramount+,1936,126334,Red,Max,Holloway,Blessed,12/4/91,34,Orthodox,155,71,69,http://www.ufc.com/athlete/Max-Holloway,Lightweight,27,8,0,0,Oahu,Hawaii,USA,Waianae,Hawaii,USA,https://ufc.com/images/2026-03/HOLLOWAY_MAX_BMF_03-07.png,0,-205,1,Kickboxer
948,UFC 326: Holloway vs. Oliveira 2,1296,2026-03-07T22:30Z,GMT-08:00,Upcoming,1,Ultimate Fighting Championship,T-Mobile Arena,268,Las Vegas,Nevada,USA,USA,12540,1,Upcoming,Main,2026-03-08T02:00Z,Paramount+,1531,106574,Blue,Charles,Oliveira,Do Bronxs,10/17/89,36,Orthodox,155,70,74,http://www.ufc.com/athlete/Charles-Oliveira,Lightweight,36,11,0,1,Sao Paulo,Sao Paulo,Brazil,Sao Paulo,Sao Paulo,Brazil,https://ufc.com/images/2026-03/OLIVEIRA_CHARLES_03-07.png,3,175,1,BJJ
949,UFC 326: Holloway vs. Oliveira 2,1296,2026-03-07T22:30Z,GMT-08:00,Upcoming,1,Ultimate Fighting Championship,T-Mobile Arena,268,Las Vegas,Nevada,USA,USA,12573,2,Upcoming,Main,2026-03-08T02:00Z,Paramount+,3658,166041,Red,Caio,Borralho,The Natural,1/16/93,33,Southpaw,185,73,75,http://www.ufc.com/athlete/Caio-Borralho,Middleweight,17,2,0,1,Sao Luis,Maranhao,Brazil,Sao Luis,Maranhao,Brazil,https://ufc.com/images/2026-03/BORRALHO_CAIO_03-07.png,7,-220,-1,BJJ
950,UFC 326: Holloway vs. Oliveira 2,1296,2026-03-07T22:30Z,GMT-08:00,Upcoming,1,Ultimate Fighting Championship,T-Mobile Arena,268,Las Vegas,Nevada,USA,USA,12573,2,Upcoming,Main,2026-03-08T02:00Z,Paramount+,4302,182389,Blue,Reinier,de Ridder,RdR,9/7/90,35,Southpaw,185,76,78,http://www.ufc.com/athlete/Reinier-de-Ridder,Middleweight,21,3,0,0,Tilburg,Noord-Brabant,Netherlands,Breda,Noord-Brabant,Netherlands,https://ufc.com/images/2026-03/DE-RIDDER_REINIER_03-07.png,8,185,-1,Judo
951,UFC 326: Holloway vs. Oliveira 2,1296,2026-03-07T22:30Z,GMT-08:00,Upcoming,1,Ultimate Fighting Championship,T-Mobile Arena,268,Las Vegas,Nevada,USA,USA,12606,3,Upcoming,Main,2026-03-08T02:00Z,Paramount+,2266,126913,Red,Rob,Font,,6/25/87,38,Orthodox,135,68,71.5,http://www.ufc.com/athlete/Rob-Font,Bantamweight,22,9,0,0,Leominster,Massachusetts,USA,Woburn,Massachusetts,USA,https://ufc.com/images/2026-03/FONT_ROB_03-07.png,13,230,-1,Boxer
952,UFC 326: Holloway vs. Oliveira 2,1296,2026-03-07T22:30Z,GMT-08:00,Upcoming,1,Ultimate Fighting Championship,T-Mobile Arena,268,Las Vegas,Nevada,USA,USA,12606,3,Upcoming,Main,2026-03-08T02:00Z,Paramount+,3931,170371,Blue,Raul,Rosas Jr.,El Nino Problema,10/8/04,21,Switch,135,69,67,http://www.ufc.com/athlete/Raul-Rosas-Jr.,Bantamweight,11,1,0,0,Clovis,New Mexico,USA,Las Vegas,Nevada,USA,https://www.ufc.com/images/2026-03/ROSAS_JR_RAUL_03-07.png,,-270,4,BJJ
953,UFC 326: Holloway vs. Oliveira 2,1296,2026-03-07T22:30Z,GMT-08:00,Upcoming,1,Ultimate Fighting Championship,T-Mobile Arena,268,Las Vegas,Nevada,USA,USA,12688,4,Upcoming,Main,2026-03-08T02:00Z,Paramount+,1340,105630,Red,Drew,Dober,,10/19/88,37,Southpaw,155,68,70,http://www.ufc.com/athlete/Drew-Dober,Lightweight,28,15,0,1,Omaha,Nebraska,USA,Omaha,Nebraska,USA,https://ufc.com/images/2026-03/DOBER_DREW_03-07.png,,-145,1,Muay Thai
954,UFC 326: Holloway vs. Oliveira 2,1296,2026-03-07T22:30Z,GMT-08:00,Upcoming,1,Ultimate Fighting Championship,T-Mobile Arena,268,Las Vegas,Nevada,USA,USA,12688,4,Upcoming,Main,2026-03-08T02:00Z,Paramount+,1711,100045,Blue,Michael,Johnson,The Menace,6/4/86,39,Southpaw,155,70,73.5,http://www.ufc.com/athlete/Michael-Johnson,Lightweight,25,19,0,0,St. Louis,Missouri,USA,St. Louis,Missouri,USA,https://ufc.com/images/2026-03/JOHNSON_MICHAEL_03-07.png,,125,3,Wrestler
955,UFC 326: Holloway vs. Oliveira 2,1296,2026-03-07T22:30Z,GMT-08:00,Upcoming,1,Ultimate Fighting Championship,T-Mobile Arena,268,Las Vegas,Nevada,USA,USA,12605,5,Upcoming,Main,2026-03-08T02:00Z,Paramount+,3558,147487,Red,Gregory,Rodrigues,Robocop,2/17/92,34,Orthodox,185,75,75,http://www.ufc.com/athlete/Gregory-Rodrigues,Middleweight,18,6,0,0,Rio de Janeiro,Rio de Janeiro,Brazil,Manaus,Amazonas,Brazil,https://ufc.com/images/2026-03/RODRIGUES_GREGORY_03-07.png,13,-157,2,BJJ
956,UFC 326: Holloway vs. Oliveira 2,1296,2026-03-07T22:30Z,GMT-08:00,Upcoming,1,Ultimate Fighting Championship,T-Mobile Arena,268,Las Vegas,Nevada,USA,USA,12605,5,Upcoming,Main,2026-03-08T02:00Z,Paramount+,3890,170763,Blue,Brunno,Ferreira,The Hulk,11/4/92,33,Orthodox,185,70,72,http://www.ufc.com/athlete/Brunno-Ferreira,Middleweight,15,2,0,0,Curitiba,Parana,Brazil,Curitiba,Parana,Brazil,https://ufc.com/images/2026-03/FERREIRA_BRUNNO_03-07.png,15,137,3,Judo
