id,Event,EventId,StartTime,TimeZone,EventStatus,OrganizationId,OrganizationName,Venue,VenueId,Location_City,Location_State,Location_Country,TriCode,FightId,FightOrder,FightStatus,CardSegment,CardSegmentStartTime,CardSegmentBroadcaster,FighterId,MMAId,Corner,FirstName,LastName,Nickname,DOB,Age,Stance,Weight_lbs,Height_in,Reach_in,UFC_Profile,FighterWeightClass,Record_Wins,Record_Losses,Record_Draws,Record_NoContests,Born_City,Born_State,Born_Country,FightingOutOf_City,FightingOutOf_State,FightingOutOf_Country,ImageURL,Rank,odds,Streak,style
817,UFC 324: Gaethje vs. Pimblett,1294,2026-01-24T22:30Z,GMT-08:00,Upcoming,1,Ultimate Fighting Championship,T-Mobile Arena,268,Las Vegas,Nevada,USA,USA,12527,1,Upcoming,Main,2026-01-25T02:00Z,Paramount+,2896,109375,Red,Justin,Gaethje,The Highlight,11/14/88,37,Orthodox,155,71,70,http://www.ufc.com/athlete/Justin-Gaethje,Lightweight,26,5,0,0,Safford,Arizona,USA,Safford,Arizona,USA,https://ufc.com/images/2026-01/GAETHJE_JUSTIN_01-24.png,4,187,1,Striker
818,UFC 324: Gaethje vs. Pimblett,1294,2026-01-24T22:30Z,GMT-08:00,Upcoming,1,Ultimate Fighting Championship,T-Mobile Arena,268,Las Vegas,Nevada,USA,USA,12527,1,Upcoming,Main,2026-01-25T02:00Z,Paramount+,3644,165501,Blue,Paddy,Pimblett,The Baddy,1/3/95,31,Orthodox,155,70,73,http://www.ufc.com/athlete/Paddy-Pimblett,Lightweight,23,3,0,0,Liverpool,England,United Kingdom,Liverpool,England,United Kingdom,https://ufc.com/images/2026-01/PIMBLETT_PADDY_01-24.png,5,-180,9,Grappler
819,UFC 324: Gaethje vs. Pimblett,1294,2026-01-24T22:30Z,GMT-08:00,Upcoming,1,Ultimate Fighting Championship,T-Mobile Arena,268,Las Vegas,Nevada,USA,USA,12529,2,Upcoming,Main,2026-01-25T02:00Z,Paramount+,2917,139923,Red,Sean,O'Malley,Suga,10/24/94,31,Switch,135,71,72,http://www.ufc.com/athlete/Sean-O'Malley,Bantamweight,18,3,0,1,Helena,Montana,USA,Peoria,Arizona,USA,https://ufc.com/images/2026-01/OMALLEY_SEAN_01-24.png,3,-200,-2,Striker
820,UFC 324: Gaethje vs. Pimblett,1294,2026-01-24T22:30Z,GMT-08:00,Upcoming,1,Ultimate Fighting Championship,T-Mobile Arena,268,Las Vegas,Nevada,USA,USA,12529,2,Upcoming,Main,2026-01-25T02:00Z,Paramount+,3030,154863,Blue,Song,Yadong,Kung Fu Kid,12/2/97,28,Orthodox,135,68,67,http://www.ufc.com/athlete/Song-Yadong,Bantamweight,22,8,1,1,,Heilongjiang,China,,Heilongjiang,China,https://ufc.com/images/2026-01/YADONG_SONG_01-24.png,5,170,1,Striker
821,UFC 324: Gaethje vs. Pimblett,1294,2026-01-24T22:30Z,GMT-08:00,Upcoming,1,Ultimate Fighting Championship,T-Mobile Arena,268,Las Vegas,Nevada,USA,USA,12530,3,Upcoming,Main,2026-01-25T02:00Z,Paramount+,3874,142446,Red,Waldo,Cortes Acosta,Salsa Boy,10/3/91,34,Orthodox,260,76,78,http://www.ufc.com/athlete/Waldo-Cortes-Acosta,Heavyweight,16,2,0,0,Fundacion,Barahona,Dominican Republic,Fundacion,Barahona,Dominican Republic,https://ufc.com/images/2026-01/CORTES_ACOSTA_WALDO_01-24.png,5,-334,2,Boxer
822,UFC 324: Gaethje vs. Pimblett,1294,2026-01-24T22:30Z,GMT-08:00,Upcoming,1,Ultimate Fighting Championship,T-Mobile Arena,268,Las Vegas,Nevada,USA,USA,12530,3,Upcoming,Main,2026-01-25T02:00Z,Paramount+,2082,116645,Blue,Derrick,Lewis,The Black Beast,2/7/85,40,Orthodox,260,75,79,http://www.ufc.com/athlete/Derrick-Lewis,Heavyweight,29,12,0,1,New Orleans,Louisiana,USA,Houston,Texas,USA,https://ufc.com/images/2026-01/LEWIS_DERRICK_01-24.png,8,250,2,Brawler
823,UFC 324: Gaethje vs. Pimblett,1294,2026-01-24T22:30Z,GMT-08:00,Upcoming,1,Ultimate Fighting Championship,T-Mobile Arena,268,Las Vegas,Nevada,USA,USA,12539,4,Upcoming,Main,2026-01-25T02:00Z,Paramount+,3623,164135,Red,Natalia,Silva,,2/3/97,28,Southpaw,125,64,65,http://www.ufc.com/athlete/Natalia-Silva,Women's Flyweight,19,5,1,0,Timoteo,Minas Gerais,Brazil,Pingo-d'Agua,Minas Gerais,Brazil,https://ufc.com/images/2026-01/SILVA_NATALIA_01-24.png,2,-400,13,Taekwondo
824,UFC 324: Gaethje vs. Pimblett,1294,2026-01-24T22:30Z,GMT-08:00,Upcoming,1,Ultimate Fighting Championship,T-Mobile Arena,268,Las Vegas,Nevada,USA,USA,12539,4,Upcoming,Main,2026-01-25T02:00Z,Paramount+,2344,131303,Blue,Rose,Namajunas,Thug,6/29/92,33,Orthodox,125,65,65,http://www.ufc.com/athlete/Rose-Namajunas,Women's Flyweight,15,7,0,0,Milwaukee,Wisconsin,USA,Denver,Colorado,USA,https://ufc.com/images/2026-01/NAMAJUNAS_ROSE_01-24.png,6,300,1,Striker
825,UFC 324: Gaethje vs. Pimblett,1294,2026-01-24T22:30Z,GMT-08:00,Upcoming,1,Ultimate Fighting Championship,T-Mobile Arena,268,Las Vegas,Nevada,USA,USA,12531,5,Upcoming,Main,2026-01-25T02:00Z,Paramount+,2570,144236,Red,Arnold,Allen,Almighty,1/22/94,32,Southpaw,145,68,70,http://www.ufc.com/athlete/Arnold-Allen,Featherweight,20,3,0,0,Ipswich,England,United Kingdom,Trimley St. Martin,England,United Kingdom,https://ufc.com/images/2026-01/ALLEN_ARNOLD_01-24.png,6,225,1,MMA
826,UFC 324: Gaethje vs. Pimblett,1294,2026-01-24T22:30Z,GMT-08:00,Upcoming,1,Ultimate Fighting Championship,T-Mobile Arena,268,Las Vegas,Nevada,USA,USA,12531,5,Upcoming,Main,2026-01-25T02:00Z,Paramount+,4064,174668,Blue,Jean,Silva,Lord,12/27/96,29,Orthodox,145,67,69,http://www.ufc.com/athlete/Jean-Silva,Featherweight,16,3,0,0,Foz do Iguacu,Parana,Brazil,Sao Paulo,Sao Paulo,Brazil,https://ufc.com/images/2026-01/SILVA_JEAN_01-24.png,10,-275,-1,Muay Thai
