id,Event,EventId,StartTime,TimeZone,EventStatus,OrganizationId,OrganizationName,Venue,VenueId,Location_City,Location_State,Location_Country,TriCode,FightId,FightOrder,FightStatus,CardSegment,CardSegmentStartTime,CardSegmentBroadcaster,FighterId,MMAId,Corner,FirstName,LastName,Nickname,DOB,Age,Stance,Weight_lbs,Height_in,Reach_in,UFC_Profile,FighterWeightClass,Record_Wins,Record_Losses,Record_Draws,Record_NoContests,Born_City,Born_State,Born_Country,FightingOutOf_City,FightingOutOf_State,FightingOutOf_Country,ImageURL,Rank,odds,Streak,style
303,UFC Fight Night: Lewis vs. Teixeira,1266,2025-07-12T22:00Z,GMT-05:00,Upcoming,1,Ultimate Fighting Championship,Bridgestone Arena,27,Nashville,Tennessee,USA,USA,12142,1,Upcoming,Main,2025-07-13T01:00Z,ESPN,2082,116645,Red,Derrick,Lewis,The Black Beast,2/7/85,40,Orthodox,260,75,79,http://www.ufc.com/athlete/Derrick-Lewis,Heavyweight,28,12,0,1,New Orleans,Louisiana,USA,Houston,Texas,USA,https://ufc.com/images/2025-01/5/LEWIS_DERRICK_11-02.png,9,210,1,Brawler
304,UFC Fight Night: Lewis vs. Teixeira,1266,2025-07-12T22:00Z,GMT-05:00,Upcoming,1,Ultimate Fighting Championship,Bridgestone Arena,27,Nashville,Tennessee,USA,USA,12142,1,Upcoming,Main,2025-07-13T01:00Z,ESPN,4231,,Blue,Tallison,Teixeira,Xicao,12/7/99,25,Orthodox,258,79,83,http://www.ufc.com/athlete/Tallison-Teixeira,Heavyweight,8,0,0,0,Vitoria da Conquista,Bahia,Brazil,Sao Paulo,Sao Paulo,Brazil,https://ufc.com/images/2025-02/TEIXEIRA_TALLISON_02-08.png,13,-280,8,Striker
305,UFC Fight Night: Lewis vs. Teixeira,1266,2025-07-12T22:00Z,GMT-05:00,Upcoming,1,Ultimate Fighting Championship,Bridgestone Arena,27,Nashville,Tennessee,USA,USA,12165,2,Upcoming,Main,2025-07-13T01:00Z,ESPN,1944,126276,Red,Stephen,Thompson,Wonderboy,2/11/83,42,Orthodox,170,72,75,http://www.ufc.com/athlete/Stephen-Thompson,Welterweight,17,8,1,0,Simpsonville,South Carolina,USA,Simpsonville,South Carolina,USA,https://ufc.com/images/2025-01/5/THOMPSON_STEPHEN_10-05.png,12,320,-2,Kenpo Karate
306,UFC Fight Night: Lewis vs. Teixeira,1266,2025-07-12T22:00Z,GMT-05:00,Upcoming,1,Ultimate Fighting Championship,Bridgestone Arena,27,Nashville,Tennessee,USA,USA,12165,2,Upcoming,Main,2025-07-13T01:00Z,ESPN,3908,165261,Blue,Gabriel,Bonfim,Marretinha,8/20/97,27,Orthodox,170,73,72.5,http://www.ufc.com/athlete/Gabriel-Bonfim,Welterweight,17,1,0,0,Brasilia,Distrito Federal,Brazil,Brasilia,Distrito Federal,Brazil,https://ufc.com/images/2023-07/BONFIM_GABRIEL_07_25.png,,-410,2,BJJ
307,UFC Fight Night: Lewis vs. Teixeira,1266,2025-07-12T22:00Z,GMT-05:00,Upcoming,1,Ultimate Fighting Championship,Bridgestone Arena,27,Nashville,Tennessee,USA,USA,12158,3,Upcoming,Main,2025-07-13T01:00Z,ESPN,2959,104502,Red,Calvin,Kattar,,3/26/88,37,Orthodox,145,71,72,http://www.ufc.com/athlete/Calvin-Kattar,Featherweight,23,9,0,0,Methuen,Massachusetts,USA,Methuen,Massachusetts,USA,https://ufc.com/images/2025-01/5/KATTAR_CALVIN_04-13.png,14,105,-4,Boxing
308,UFC Fight Night: Lewis vs. Teixeira,1266,2025-07-12T22:00Z,GMT-05:00,Upcoming,1,Ultimate Fighting Championship,Bridgestone Arena,27,Nashville,Tennessee,USA,USA,12158,3,Upcoming,Main,2025-07-13T01:00Z,ESPN,2639,124285,Blue,Steve,Garcia,Mean Machine,5/22/92,33,Southpaw,145,72,75,http://www.ufc.com/athlete/Steve-Garcia,Featherweight,17,5,0,0,Albuquerque,New Mexico,USA,Albuquerque,New Mexico,USA,https://ufc.com/images/2024-09/GARCIA_STEVE_09-07.png,,-125,5,MMA
309,UFC Fight Night: Lewis vs. Teixeira,1266,2025-07-12T22:00Z,GMT-05:00,Upcoming,1,Ultimate Fighting Championship,Bridgestone Arena,27,Nashville,Tennessee,USA,USA,12205,4,Upcoming,Main,2025-07-13T01:00Z,ESPN,3422,116865,Red,Nate,Landwehr,The Train,6/6/88,37,Orthodox,145,69,72,http://www.ufc.com/athlete/Nate-Landwehr,Featherweight,18,6,0,0,Clarksville,Tennessee,USA,Clarksville,Tennessee,USA,https://ufc.com/images/2024-12/LANDWEHR_NATE_12-07.png,,220,-1,Striker
310,UFC Fight Night: Lewis vs. Teixeira,1266,2025-07-12T22:00Z,GMT-05:00,Upcoming,1,Ultimate Fighting Championship,Bridgestone Arena,27,Nashville,Tennessee,USA,USA,12205,4,Upcoming,Main,2025-07-13T01:00Z,ESPN,4131,175,Blue,Morgan,Charriere,The Last Pirate,10/26/95,29,Orthodox,145,68,69,http://www.ufc.com/athlete/Morgan-Charriere,Featherweight,20,11,1,0,Poissy,Ile-de-France,France,Mantes-la-Jolie,Ile-de-France,France,https://ufc.com/images/2025-03/CHARRIERE_MORGAN_03-22.png,,-270,-1,MMA
311,UFC Fight Night: Lewis vs. Teixeira,1266,2025-07-12T22:00Z,GMT-05:00,Upcoming,1,Ultimate Fighting Championship,Bridgestone Arena,27,Nashville,Tennessee,USA,USA,12161,5,Upcoming,Main,2025-07-13T01:00Z,ESPN,3873,160365,Red,Vitor,Petrino,,8/28/97,27,Orthodox,205,74,77.5,http://www.ufc.com/athlete/Vitor-Petrino,Heavyweight,11,2,0,0,Santa Luzia,Minas Gerais,Brazil,Santa Luzia,Minas Gerais,Brazil,https://ufc.com/images/2024-12/PETRINO_VITOR_12-14.png,,-750,-2,Striker
312,UFC Fight Night: Lewis vs. Teixeira,1266,2025-07-12T22:00Z,GMT-05:00,Upcoming,1,Ultimate Fighting Championship,Bridgestone Arena,27,Nashville,Tennessee,USA,USA,12161,5,Upcoming,Main,2025-07-13T01:00Z,ESPN,3081,152151,Blue,Austen,Lane,,11/9/87,37,Orthodox,245,78,80,http://www.ufc.com/athlete/Austen-Lane,Heavyweight,13,6,0,1,Iola,Wisconsin,USA,Jacksonville,Florida,USA,https://ufc.com/images/2025-02/LANE_AUSTEN_03-01.png,,525,-1,MMA
313,UFC Fight Night: Lewis vs. Teixeira,1266,2025-07-12T22:00Z,GMT-05:00,Upcoming,1,Ultimate Fighting Championship,Bridgestone Arena,27,Nashville,Tennessee,USA,USA,12159,6,Upcoming,Main,2025-07-13T01:00Z,ESPN,3702,172341,Red,Junior,Tafa,The Juggernaut,9/21/96,28,Orthodox,205,75,75,http://www.ufc.com/athlete/Junior-Tafa,Light Heavyweight,6,3,0,0,Brisbane,Queensland,Australia,Brisbane,Queensland,Australia,https://ufc.com/images/2024-10/TAFA_JUNIOR_10-12.png,,-162,1,Kickboxing
314,UFC Fight Night: Lewis vs. Teixeira,1266,2025-07-12T22:00Z,GMT-05:00,Upcoming,1,Ultimate Fighting Championship,Bridgestone Arena,27,Nashville,Tennessee,USA,USA,12159,6,Upcoming,Main,2025-07-13T01:00Z,ESPN,3790,163,Blue,Tuco,Tokkos,,6/30/90,35,Orthodox,205,76,76,http://www.ufc.com/athlete/Tuco-Tokkos,Light Heavyweight,10,5,0,0,London,England,United Kingdom,London,England,United Kingdom,https://ufc.com/images/2024-12/TOKKOS_TUCO_12-14.png,,136,-2,BJJ
315,UFC Fight Night: Lewis vs. Teixeira,1266,2025-07-12T22:00Z,GMT-05:00,Upcoming,1,Ultimate Fighting Championship,Bridgestone Arena,27,Nashville,Tennessee,USA,USA,12162,7,Upcoming,Prelims1,2025-07-12T22:00Z,ESPN,2805,106700,Red,Max,Griffin,Pain,11/29/85,39,Orthodox,170,71,76,http://www.ufc.com/athlete/Max-Griffin,Welterweight,20,11,0,0,Santa Barbara,California,USA,Sacramento,California,USA,https://ufc.com/images/2024-12/GRIFFIN_MAX_12-07.png,,260,-2,Striker
316,UFC Fight Night: Lewis vs. Teixeira,1266,2025-07-12T22:00Z,GMT-05:00,Upcoming,1,Ultimate Fighting Championship,Bridgestone Arena,27,Nashville,Tennessee,USA,USA,12162,7,Upcoming,Prelims1,2025-07-12T22:00Z,ESPN,3085,104001,Blue,Chris,Curtis,Action-Man,7/15/87,37,Orthodox,170,70,75.5,http://www.ufc.com/athlete/Chris-Curtis,Welterweight,31,12,0,1,Cincinnati,Ohio,USA,Cincinnati,Ohio,USA,https://ufc.com/images/2025-01/12/CURTIS_CHRIS_01-11.png,,-325,-1,Striker
317,UFC Fight Night: Lewis vs. Teixeira,1266,2025-07-12T22:00Z,GMT-05:00,Upcoming,1,Ultimate Fighting Championship,Bridgestone Arena,27,Nashville,Tennessee,USA,USA,12157,8,Upcoming,Prelims1,2025-07-12T22:00Z,ESPN,2258,139091,Red,Jake,Matthews,The Celtic Kid,8/19/94,30,Orthodox,170,71,73,http://www.ufc.com/athlete/Jake-Matthews,Welterweight,21,7,0,0,Melbourne,Victoria,Australia,Epping,Victoria,Australia,https://ufc.com/images/2025-02/MATTHEWS_JAKE_02-08.png,,124,2,Freestyle
318,UFC Fight Night: Lewis vs. Teixeira,1266,2025-07-12T22:00Z,GMT-05:00,Upcoming,1,Ultimate Fighting Championship,Bridgestone Arena,27,Nashville,Tennessee,USA,USA,12157,8,Upcoming,Prelims1,2025-07-12T22:00Z,ESPN,2668,121729,Blue,Chidi,Njokuani,Bang Bang,12/31/88,36,Orthodox,170,75,80,http://www.ufc.com/athlete/Chidi-Njokuani,Welterweight,25,10,0,1,Dallas,Texas,USA,Garland,Texas,USA,https://ufc.com/images/2023-03/NJOKUANI_CHIDI_03-25.png,,-148,3,Muay Thai
319,UFC Fight Night: Lewis vs. Teixeira,1266,2025-07-12T22:00Z,GMT-05:00,Upcoming,1,Ultimate Fighting Championship,Bridgestone Arena,27,Nashville,Tennessee,USA,USA,12164,9,Upcoming,Prelims1,2025-07-12T22:00Z,ESPN,2293,132064,Red,Lauren,Murphy,Lucky,7/27/83,41,Orthodox,125,65,67,http://www.ufc.com/athlete/Lauren-Murphy,Women's Flyweight,16,6,0,0,Anchorage,Alaska,USA,Houston,Texas,USA,https://ufc.com/images/2023-01/MURPHY_LAUREN_01-19.png,,455,-1,MMA
320,UFC Fight Night: Lewis vs. Teixeira,1266,2025-07-12T22:00Z,GMT-05:00,Upcoming,1,Ultimate Fighting Championship,Bridgestone Arena,27,Nashville,Tennessee,USA,USA,12164,9,Upcoming,Prelims1,2025-07-12T22:00Z,ESPN,4016,174,Blue,Eduarda,Moura,Ronda,2/28/94,31,Orthodox,125,66,67,http://www.ufc.com/athlete/Eduarda-Moura,Women's Flyweight,11,1,0,0,Riachuelo,Sergipe,Brazil,Salvador,Bahia,Brazil,https://ufc.com/images/2024-11/MOURA_EDUARDA_11-16.png,,-625,1,Wrestling
