id,Event,EventId,StartTime,TimeZone,EventStatus,OrganizationId,OrganizationName,Venue,VenueId,Location_City,Location_State,Location_Country,TriCode,FightId,FightOrder,FightStatus,CardSegment,CardSegmentStartTime,CardSegmentBroadcaster,FighterId,MMAId,Corner,FirstName,LastName,Nickname,DOB,Age,Stance,Weight_lbs,Height_in,Reach_in,UFC_Profile,FighterWeightClass,Record_Wins,Record_Losses,Record_Draws,Record_NoContests,Born_City,Born_State,Born_Country,FightingOutOf_City,FightingOutOf_State,FightingOutOf_Country,ImageURL,Rank,odds,Streak,style
529,UFC Fight Night: Ulberg vs. Reyes,1276,2025-09-27T23:00Z,GMT+08:00,Upcoming,1,Ultimate Fighting Championship,RAC Arena,298,Perth,Western Australia,Australia,AUS,12306,1,Upcoming,Main,2025-09-28T02:00Z,ESPN+,3603,163892,Red,Carlos,Ulberg,Black Jag,11/7/90,34,Orthodox,205,76,77,http://www.ufc.com/athlete/Carlos-Ulberg,Light Heavyweight,13,1,0,0,Auckland,,New Zealand,Auckland,,New Zealand,https://ufc.com/images/2025-09/ULBERG_CARLOS_09-27.png,3,-250,8,Kickboxing
530,UFC Fight Night: Ulberg vs. Reyes,1276,2025-09-27T23:00Z,GMT+08:00,Upcoming,1,Ultimate Fighting Championship,RAC Arena,298,Perth,Western Australia,Australia,AUS,12306,1,Upcoming,Main,2025-09-28T02:00Z,ESPN+,2907,135284,Blue,Dominick,Reyes,The Devastator,12/26/89,35,Southpaw,205,76,77,http://www.ufc.com/athlete/Dominick-Reyes,Light Heavyweight,15,4,0,0,Hesperia,California,USA,Victorville,California,USA,https://ufc.com/images/2025-09/REYES_DOMINICK_09-27.png,7,200,3,Striker
531,UFC Fight Night: Ulberg vs. Reyes,1276,2025-09-27T23:00Z,GMT+08:00,Upcoming,1,Ultimate Fighting Championship,RAC Arena,298,Perth,Western Australia,Australia,AUS,12317,2,Upcoming,Main,2025-09-28T02:00Z,ESPN+,3133,157130,Red,Jimmy,Crute,,3/4/96,29,Orthodox,205,74,74,http://www.ufc.com/athlete/Jim-Crute,Light Heavyweight,13,4,2,0,Singleton,New South Wales,Australia,Bendigo,Victoria,Australia,https://ufc.com/images/2025-09/CRUTE_JIMMY_09-27.png,,-235,1,MMA
532,UFC Fight Night: Ulberg vs. Reyes,1276,2025-09-27T23:00Z,GMT+08:00,Upcoming,1,Ultimate Fighting Championship,RAC Arena,298,Perth,Western Australia,Australia,AUS,12317,2,Upcoming,Main,2025-09-28T02:00Z,ESPN+,4271,158,Blue,Ivan,Erslan,,11/15/91,33,Orthodox,205,74,72.5,http://www.ufc.com/athlete/Ivan-Erslan,Light Heavyweight,14,5,0,1,Zadar,,Croatia,Zagreb,,Croatia,https://ufc.com/images/2025-09/ERSLAN_IVAN_09-27.png,,190,-2,Boxing
533,UFC Fight Night: Ulberg vs. Reyes,1276,2025-09-27T23:00Z,GMT+08:00,Upcoming,1,Ultimate Fighting Championship,RAC Arena,298,Perth,Western Australia,Australia,AUS,12372,3,Upcoming,Main,2025-09-28T02:00Z,ESPN+,3928,170824,Red,Jack,Jenkins,Phar,11/3/93,31,Switch,145,67,68,http://www.ufc.com/athlete/Jack-Jenkins,Featherweight,13,4,0,0,Bacchus Marsh,Victoria,Australia,Melbourne,Victoria,Australia,https://ufc.com/images/2025-09/JENKINS_JACK_09-27.png,,-310,-1,Freestyle
534,UFC Fight Night: Ulberg vs. Reyes,1276,2025-09-27T23:00Z,GMT+08:00,Upcoming,1,Ultimate Fighting Championship,RAC Arena,298,Perth,Western Australia,Australia,AUS,12372,3,Upcoming,Main,2025-09-28T02:00Z,ESPN+,4077,163133,Blue,Ramon,Taveras,The Savage,1/9/94,31,Southpaw,145,68,70,http://www.ufc.com/athlete/Ramon-Taveras,Featherweight,10,3,0,0,Jacksonville,Florida,USA,Jacksonville,Florida,USA,https://ufc.com/images/2025-09/TAVERAS_RAMON_09-27.png,,245,-1,MMA
535,UFC Fight Night: Ulberg vs. Reyes,1276,2025-09-27T23:00Z,GMT+08:00,Upcoming,1,Ultimate Fighting Championship,RAC Arena,298,Perth,Western Australia,Australia,AUS,12373,4,Upcoming,Main,2025-09-28T02:00Z,ESPN+,2258,139091,Red,Jake,Matthews,The Celtic Kid,8/19/94,31,Orthodox,170,71,73,http://www.ufc.com/athlete/Jake-Matthews,Welterweight,22,7,0,0,Melbourne,Victoria,Australia,Epping,Victoria,Australia,https://ufc.com/images/2025-09/MATTHEWS_JAKE_09-27.png,,-400,3,Freestyle
536,UFC Fight Night: Ulberg vs. Reyes,1276,2025-09-27T23:00Z,GMT+08:00,Upcoming,1,Ultimate Fighting Championship,RAC Arena,298,Perth,Western Australia,Australia,AUS,12373,4,Upcoming,Main,2025-09-28T02:00Z,ESPN+,2047,118309,Blue,Neil,Magny,The Haitian Sensation,8/3/87,38,Orthodox,170,75,80,http://www.ufc.com/athlete/Neil-Magny,Welterweight,30,13,0,0,Brooklyn,New York,USA,Denver,Colorado,USA,https://ufc.com/images/2025-09/MAGNY_NEIL_09-27.png,,300,1,MMA
537,UFC Fight Night: Ulberg vs. Reyes,1276,2025-09-27T23:00Z,GMT+08:00,Upcoming,1,Ultimate Fighting Championship,RAC Arena,298,Perth,Western Australia,Australia,AUS,12414,5,Upcoming,Main,2025-09-28T02:00Z,ESPN+,4024,174,Red,Tom,Nolan,Big Train,3/8/00,25,Southpaw,155,75,73,http://www.ufc.com/athlete/Tom-Nolan,Lightweight,9,1,0,0,Toowoomba,Queensland,Australia,Brisbane,Queensland,Australia,https://ufc.com/images/2025-09/NOLAN_TOM_09-27.png,,-135,3,"""Ninja"""
538,UFC Fight Night: Ulberg vs. Reyes,1276,2025-09-27T23:00Z,GMT+08:00,Upcoming,1,Ultimate Fighting Championship,RAC Arena,298,Perth,Western Australia,Australia,AUS,12414,5,Upcoming,Main,2025-09-28T02:00Z,ESPN+,3835,155505,Blue,Charlie,Campbell,The Cannibal,7/3/95,30,Orthodox,155,72,72.5,http://www.ufc.com/athlete/Charlie-Campbell,Lightweight,9,2,0,0,Long Island,New York,USA,Las Vegas,Nevada,USA,https://ufc.com/images/2025-09/CAMPBELL_CHARLIE_09-27.png,,115,3,MMA
