Event,EventId,StartTime,TimeZone,EventStatus,LiveEventId,LiveFightId,LiveRoundNumber,LiveRoundElapsedTime,OrganizationId,OrganizationName,Venue,VenueId,Location_City,Location_State,Location_Country,TriCode,FightId,FightOrder,FightStatus,CardSegment,CardSegmentStartTime,CardSegmentBroadcaster,FighterId,MMAId,Corner,FirstName,LastName,Nickname,DOB,Age,Stance,Weight_lbs,Height_in,Reach_in,UFC_Profile,FighterWeightClass,Record_Wins,Record_Losses,Record_Draws,Record_NoContests,Born_City,Born_State,Born_Country,FightingOutOf_City,FightingOutOf_State,FightingOutOf_Country,ImageURL,KOOfTheNight,SubmissionOfTheNight,PerformanceOfTheNight,Fight_Result_Method,Fight_Result_EndingRound,Fight_Result_EndingTime,Fight_Result_EndingStrike,Fight_Result_EndingTarget,Fight_Result_EndingPosition,Fight_Result_EndingSubmission,Fight_Result_EndingNotes,FightOfTheNight
UFC 314: Volkanovski vs. Lopes,1251,2025-04-12T22:00Z,GMT-04:00,Upcoming,,,,,1,Ultimate Fighting Championship,Kaseya Center,202,Miami,Florida,USA,USA,11962,1,Upcoming,Main,2025-04-13T02:00Z,PPV,2824,149938,Red,Alexander,Volkanovski,The Great,1988-09-29,36,Orthodox,145.0,66.0,71.5,http://www.ufc.com/athlete/Alexander-Volkanovski,Featherweight,26,4,0,0,Shellharbour,New South Wales,Australia,Windang,New South Wales,Australia,https://ufc.com/images/2025-04/VOLKANOVSKI_ALEXANDER_04-12.png,False,False,False,,,,,,,,,False
UFC 314: Volkanovski vs. Lopes,1251,2025-04-12T22:00Z,GMT-04:00,Upcoming,,,,,1,Ultimate Fighting Championship,Kaseya Center,202,Miami,Florida,USA,USA,11962,1,Upcoming,Main,2025-04-13T02:00Z,PPV,3754,165900,Blue,Diego,Lopes,,1994-12-30,30,Orthodox,145.0,71.0,72.5,http://www.ufc.com/athlete/Diego-Lopes,Featherweight,26,6,0,0,Manaus,Amazonas,Brazil,Manaus,Amazonas,Brazil,https://ufc.com/images/2025-04/LOPES_DIEGO_04-12.png,False,False,False,,,,,,,,,False
UFC 314: Volkanovski vs. Lopes,1251,2025-04-12T22:00Z,GMT-04:00,Upcoming,,,,,1,Ultimate Fighting Championship,Kaseya Center,202,Miami,Florida,USA,USA,11966,2,Upcoming,Main,2025-04-13T02:00Z,PPV,1442,109493,Red,Michael,Chandler,Iron,1986-04-24,38,Orthodox,155.0,68.0,71.5,http://www.ufc.com/athlete/Michael-Chandler,Lightweight,23,9,0,0,High Ridge,Missouri,USA,Nashville,Tennessee,USA,https://ufc.com/images/2025-04/CHANDLER_MICHAEL_04-12.png,False,False,False,,,,,,,,,False
UFC 314: Volkanovski vs. Lopes,1251,2025-04-12T22:00Z,GMT-04:00,Upcoming,,,,,1,Ultimate Fighting Championship,Kaseya Center,202,Miami,Florida,USA,USA,11966,2,Upcoming,Main,2025-04-13T02:00Z,PPV,3644,165501,Blue,Paddy,Pimblett,The Baddy,1995-01-03,30,Orthodox,155.0,70.0,73.0,http://www.ufc.com/athlete/Paddy-Pimblett,Lightweight,22,3,0,0,Liverpool,England,United Kingdom,Liverpool,England,United Kingdom,https://ufc.com/images/2025-04/PIMBLETT_PADDY_04-12.png,False,False,False,,,,,,,,,False
UFC 314: Volkanovski vs. Lopes,1251,2025-04-12T22:00Z,GMT-04:00,Upcoming,,,,,1,Ultimate Fighting Championship,Kaseya Center,202,Miami,Florida,USA,USA,11965,3,Upcoming,Main,2025-04-13T02:00Z,PPV,2362,140769,Red,Yair,Rodriguez,El Pantera,1992-10-06,32,Orthodox,145.0,71.0,71.0,http://www.ufc.com/athlete/Yair-Rodriguez,Featherweight,20,6,0,1,Parral,Chihuahua,Mexico,Parral,Chihuahua,Mexico,https://ufc.com/images/2025-04/RODRIGUEZ_YAIR_04-12.png,False,False,False,,,,,,,,,False
UFC 314: Volkanovski vs. Lopes,1251,2025-04-12T22:00Z,GMT-04:00,Upcoming,,,,,1,Ultimate Fighting Championship,Kaseya Center,202,Miami,Florida,USA,USA,11965,3,Upcoming,Main,2025-04-13T02:00Z,PPV,2393,114,Blue,Patricio,Freire,Pitbull,1987-07-07,37,Orthodox,145.0,66.0,67.0,http://www.ufc.com/athlete/Patricio-Freire,Featherweight,36,7,0,0,Mossoro,Rio Grande do Norte,Brazil,Natal,Rio Grande do Norte,Brazil,https://ufc.com/images/2025-04/PITBULL_PATRICIO_04-12.png,False,False,False,,,,,,,,,False
UFC 314: Volkanovski vs. Lopes,1251,2025-04-12T22:00Z,GMT-04:00,Upcoming,,,,,1,Ultimate Fighting Championship,Kaseya Center,202,Miami,Florida,USA,USA,11988,4,Upcoming,Main,2025-04-13T02:00Z,PPV,3130,129655,Red,Bryce,Mitchell,Thug Nasty,1994-10-04,30,Southpaw,145.0,70.0,70.0,http://www.ufc.com/athlete/Bryce-Mitchell,Featherweight,17,3,0,0,Texarkana,Texas,USA,Searcy,Arkansas,USA,https://ufc.com/images/2025-04/MITCHELL_BRYCE_04-12.png,False,False,False,,,,,,,,,False
UFC 314: Volkanovski vs. Lopes,1251,2025-04-12T22:00Z,GMT-04:00,Upcoming,,,,,1,Ultimate Fighting Championship,Kaseya Center,202,Miami,Florida,USA,USA,11988,4,Upcoming,Main,2025-04-13T02:00Z,PPV,4064,174,Blue,Jean,Silva,Lord,1996-12-27,28,Orthodox,145.0,67.0,69.0,http://www.ufc.com/athlete/Jean-Silva,Featherweight,15,2,0,0,Foz do Iguacu,Parana,Brazil,Sao Paulo,Sao Paulo,Brazil,,False,False,False,,,,,,,,,False
UFC 314: Volkanovski vs. Lopes,1251,2025-04-12T22:00Z,GMT-04:00,Upcoming,,,,,1,Ultimate Fighting Championship,Kaseya Center,202,Miami,Florida,USA,USA,11968,5,Upcoming,Main,2025-04-13T02:00Z,PPV,2076,132989,Red,Nikita,Krylov,The Miner,1992-03-07,33,Orthodox,205.0,75.0,77.5,http://www.ufc.com/athlete/Nikita-Krylov,Light Heavyweight,30,9,0,0,Donetsk,,Ukraine,Kislovodsk,Stavropol,Russia,https://ufc.com/images/2025-04/KRYLOV_NIKITA_04-12.png,False,False,False,,,,,,,,,False
UFC 314: Volkanovski vs. Lopes,1251,2025-04-12T22:00Z,GMT-04:00,Upcoming,,,,,1,Ultimate Fighting Championship,Kaseya Center,202,Miami,Florida,USA,USA,11968,5,Upcoming,Main,2025-04-13T02:00Z,PPV,2907,135284,Blue,Dominick,Reyes,The Devastator,1989-12-26,35,Southpaw,205.0,76.0,77.0,http://www.ufc.com/athlete/Dominick-Reyes,Light Heavyweight,14,4,0,0,Hesperia,California,USA,Victorville,California,USA,https://ufc.com/images/2025-04/REYES_DOMINICK_04-12.png,False,False,False,,,,,,,,,False
