Event,EventId,StartTime,TimeZone,EventStatus,LiveEventId,LiveFightId,LiveRoundNumber,LiveRoundElapsedTime,OrganizationId,OrganizationName,Venue,VenueId,Location_City,Location_State,Location_Country,TriCode,FightId,FightOrder,FightStatus,CardSegment,CardSegmentStartTime,CardSegmentBroadcaster,FighterId,MMAId,Corner,FirstName,LastName,Nickname,DOB,Age,Stance,Weight_lbs,Height_in,Reach_in,UFC_Profile,FighterWeightClass,Record_Wins,Record_Losses,Record_Draws,Record_NoContests,Born_City,Born_State,Born_Country,FightingOutOf_City,FightingOutOf_State,FightingOutOf_Country,ImageURL,KOOfTheNight,SubmissionOfTheNight,PerformanceOfTheNight,Fight_Result_Method,Fight_Result_EndingRound,Fight_Result_EndingTime,Fight_Result_EndingStrike,Fight_Result_EndingTarget,Fight_Result_EndingPosition,Fight_Result_EndingSubmission,Fight_Result_EndingNotes,FightOfTheNight
UFC Fight Night: Emmett vs. Murphy,1250,2025-04-05T22:00Z,GMT-07:00,Final,,,,,1,Ultimate Fighting Championship,UFC Apex,316,Las Vegas,Nevada,USA,USA,11980,1,Final,Main,2025-04-06T01:00Z,ESPN,2773,134271,Red,Josh,Emmett,CC0,1985-03-04,40,Orthodox,145.0,66.0,70.0,http://www.ufc.com/athlete/Josh-Emmett,Featherweight,19,5,0,0,Phoenix,Arizona,USA,Sacramento,California,USA,https://ufc.com/images/2025-04/EMMETT_JOSH_04-05.png,False,False,False,Decision - Unanimous,5,5:00,,,,,,False
UFC Fight Night: Emmett vs. Murphy,1250,2025-04-05T22:00Z,GMT-07:00,Final,,,,,1,Ultimate Fighting Championship,UFC Apex,316,Las Vegas,Nevada,USA,USA,11980,1,Final,Main,2025-04-06T01:00Z,ESPN,3424,161659,Blue,Lerone,Murphy,The Miracle,1991-07-22,33,Orthodox,145.0,69.0,73.5,http://www.ufc.com/athlete/Lerone-Murphy,Featherweight,16,0,1,0,Manchester,England,United Kingdom,Manchester,England,United Kingdom,https://ufc.com/images/2025-04/MURPHY_LERONE_04-05.png,False,False,False,Decision - Unanimous,5,5:00,,,,,,False
UFC Fight Night: Emmett vs. Murphy,1250,2025-04-05T22:00Z,GMT-07:00,Final,,,,,1,Ultimate Fighting Championship,UFC Apex,316,Las Vegas,Nevada,USA,USA,11996,2,Final,Main,2025-04-06T01:00Z,ESPN,3638,105755,Red,Pat,Sabatini,,1990-11-09,34,Orthodox,145.0,68.0,70.0,http://www.ufc.com/athlete/Pat-Sabatini,Featherweight,20,5,0,0,Bristol,Pennsylvania,USA,Philadelphia,Pennsylvania,USA,https://ufc.com/images/2025-04/SABATINI_PAT_04-05.png,False,False,False,Decision - Unanimous,3,5:00,,,,,,False
UFC Fight Night: Emmett vs. Murphy,1250,2025-04-05T22:00Z,GMT-07:00,Final,,,,,1,Ultimate Fighting Championship,UFC Apex,316,Las Vegas,Nevada,USA,USA,11996,2,Final,Main,2025-04-06T01:00Z,ESPN,3669,165429,Blue,Joanderson,Brito,Tubarao,1995-02-11,30,Orthodox,145.0,68.0,72.0,http://www.ufc.com/athlete/Joanderson-Brito,Featherweight,17,5,1,0,Santa Helena,Maranhao,Brazil,Bauru,Sao Paulo,Brazil,https://ufc.com/images/2025-04/BRITO_JOANDERSON_04-05.png,False,False,False,Decision - Unanimous,3,5:00,,,,,,False
UFC Fight Night: Emmett vs. Murphy,1250,2025-04-05T22:00Z,GMT-07:00,Final,,,,,1,Ultimate Fighting Championship,UFC Apex,316,Las Vegas,Nevada,USA,USA,11957,3,Final,Main,2025-04-06T01:00Z,ESPN,4154,157,Red,Cortavious,Romious,,1994-01-06,31,Southpaw,135.0,64.0,68.0,http://www.ufc.com/athlete/Cortavious-Romious,Bantamweight,9,4,0,0,St. Louis,Missouri,USA,St. Louis,Missouri,USA,https://ufc.com/images/2025-04/ROMIOUS_CORTAVIOUS_04-05.png,False,False,False,KO/TKO,2,3:48,Elbows,Head,From Mount,,,False
UFC Fight Night: Emmett vs. Murphy,1250,2025-04-05T22:00Z,GMT-07:00,Final,,,,,1,Ultimate Fighting Championship,UFC Apex,316,Las Vegas,Nevada,USA,USA,11957,3,Final,Main,2025-04-06T01:00Z,ESPN,3985,174037,Blue,ChangHo,Lee,,1994-05-09,30,Orthodox,135.0,68.0,69.0,http://www.ufc.com/athlete/Chang-Ho-Lee,Bantamweight,11,1,0,0,Seoul,,South Korea,Goyang,Gyeonggi-do,South Korea,https://ufc.com/images/2025-04/LEE_CHANGHO_04-05.png,False,False,True,KO/TKO,2,3:48,Elbows,Head,From Mount,,,False
UFC Fight Night: Emmett vs. Murphy,1250,2025-04-05T22:00Z,GMT-07:00,Final,,,,,1,Ultimate Fighting Championship,UFC Apex,316,Las Vegas,Nevada,USA,USA,12002,4,Final,Main,2025-04-06T01:00Z,ESPN,1546,113348,Red,Brad,Tavares,,1987-12-21,37,Orthodox,185.0,73.0,74.0,http://www.ufc.com/athlete/Brad-Tavares,Middleweight,21,11,0,0,Kailua,Hawaii,USA,Kailua,Hawaii,USA,https://ufc.com/images/2025-04/TAVARES_BRAD_04-05.png,False,False,False,Decision - Unanimous,3,5:00,,,,,,False
UFC Fight Night: Emmett vs. Murphy,1250,2025-04-05T22:00Z,GMT-07:00,Final,,,,,1,Ultimate Fighting Championship,UFC Apex,316,Las Vegas,Nevada,USA,USA,12002,4,Final,Main,2025-04-06T01:00Z,ESPN,2844,117399,Blue,Gerald,Meerschaert,GM3,1987-12-18,37,Southpaw,185.0,73.0,77.5,http://www.ufc.com/athlete/Gerald-Meerschaert,Middleweight,37,19,0,0,Racine,Wisconsin,USA,Milwaukee,Wisconsin,USA,https://ufc.com/images/2025-04/MEERSCHAERT_GERALD_04-05.png,False,False,False,Decision - Unanimous,3,5:00,,,,,,False
UFC Fight Night: Emmett vs. Murphy,1250,2025-04-05T22:00Z,GMT-07:00,Final,,,,,1,Ultimate Fighting Championship,UFC Apex,316,Las Vegas,Nevada,USA,USA,12003,5,Final,Main,2025-04-06T01:00Z,ESPN,3329,133,Red,Ode,Osbourne,The Jamaican Sensation,1992-01-09,33,Southpaw,125.0,67.0,73.0,http://www.ufc.com/athlete/Ode-Osbourne,Flyweight,13,8,0,1,Kingston,,Jamaica,Milwaukee,Wisconsin,USA,https://ufc.com/images/2025-04/OSBOURNE_ODE_04-05.png,False,False,True,KO/TKO,2,1:54,Punch,Head,At Distance,,,False
UFC Fight Night: Emmett vs. Murphy,1250,2025-04-05T22:00Z,GMT-07:00,Final,,,,,1,Ultimate Fighting Championship,UFC Apex,316,Las Vegas,Nevada,USA,USA,12003,5,Final,Main,2025-04-06T01:00Z,ESPN,4305,166,Blue,Luis,Gurule,Grim,1993-11-16,31,Orthodox,125.0,65.0,64.0,http://www.ufc.com/athlete/Luis-Gurule,Flyweight,10,1,0,0,Denver,Colorado,USA,Sheridan,Colorado,USA,https://ufc.com/images/2025-04/GURULE_LUIS_04-05.png,False,False,False,KO/TKO,2,1:54,Punch,Head,At Distance,,,False
